,Category: All categories,sick,symptom,cough,allcovidinformation
Week,covid: (Ontario),sick: (Ontario),symptom: (Ontario),cough: (Ontario),allcovidinformation: (Ontario)
2018-01-07,0,82.0,22.0,43.0,147.0
2018-01-14,0,85.0,23.0,42.0,150.0
2018-01-21,0,82.0,19.0,46.0,147.0
2018-01-28,0,83.0,18.0,46.0,147.0
2018-02-04,0,77.0,19.0,48.0,144.0
2018-02-11,0,69.0,16.0,43.0,128.0
2018-02-18,0,67.0,19.0,42.0,128.0
2018-02-25,0,71.0,19.0,38.0,128.0
2018-03-04,0,65.0,19.0,35.0,119.0
2018-03-11,0,64.0,17.0,36.0,117.0
2018-03-18,0,63.0,15.0,30.0,108.0
2018-03-25,0,58.0,19.0,33.0,110.0
2018-04-01,0,59.0,16.0,31.0,106.0
2018-04-08,0,59.0,14.0,29.0,102.0
2018-04-15,0,56.0,18.0,27.0,101.0
2018-04-22,0,58.0,19.0,28.0,105.0
2018-04-29,0,54.0,14.0,28.0,96.0
2018-05-06,0,54.0,18.0,27.0,99.0
2018-05-13,0,55.0,13.0,26.0,94.0
2018-05-20,0,52.0,14.0,23.0,89.0
2018-05-27,0,56.0,15.0,23.0,94.0
2018-06-03,0,58.0,12.0,24.0,94.0
2018-06-10,0,54.0,19.0,23.0,96.0
2018-06-17,0,53.0,16.0,20.0,89.0
2018-06-24,0,50.0,15.0,24.0,89.0
2018-07-01,0,48.0,17.0,23.0,88.0
2018-07-08,0,55.0,15.0,24.0,94.0
2018-07-15,0,55.0,14.0,20.0,89.0
2018-07-22,0,55.0,14.0,20.0,89.0
2018-07-29,0,51.0,18.0,19.0,88.0
2018-08-05,0,54.0,16.0,21.0,91.0
2018-08-12,0,59.0,21.0,21.0,101.0
2018-08-19,0,57.0,13.0,21.0,91.0
2018-08-26,0,54.0,12.0,20.0,86.0
2018-09-02,0,53.0,14.0,24.0,91.0
2018-09-09,0,61.0,12.0,25.0,98.0
2018-09-16,0,59.0,15.0,34.0,108.0
2018-09-23,0,68.0,16.0,37.0,121.0
2018-09-30,0,65.0,13.0,39.0,117.0
2018-10-07,0,62.0,15.0,39.0,116.0
2018-10-14,0,63.0,17.0,36.0,116.0
2018-10-21,0,68.0,15.0,35.0,118.0
2018-10-28,0,64.0,17.0,34.0,115.0
2018-11-04,0,66.0,15.0,35.0,116.0
2018-11-11,0,63.0,15.0,36.0,114.0
2018-11-18,0,64.0,14.0,40.0,118.0
2018-11-25,0,78.0,18.0,38.0,134.0
2018-12-02,0,70.0,14.0,44.0,128.0
2018-12-09,0,70.0,15.0,44.0,129.0
2018-12-16,0,67.0,17.0,49.0,133.0
2018-12-23,0,65.0,17.0,54.0,136.0
2018-12-30,0,71.0,18.0,56.0,145.0
2019-01-06,0,68.0,15.0,45.0,128.0
2019-01-13,0,72.0,15.0,38.0,125.0
2019-01-20,0,66.0,16.0,38.0,120.0
2019-01-27,0,62.0,15.0,39.0,116.0
2019-02-03,0,57.0,14.0,36.0,107.0
2019-02-10,0,62.0,20.0,34.0,116.0
2019-02-17,0,58.0,18.0,34.0,110.0
2019-02-24,0,54.0,16.0,32.0,102.0
2019-03-03,0,63.0,15.0,35.0,113.0
2019-03-10,0,58.0,15.0,38.0,111.0
2019-03-17,0,58.0,17.0,38.0,113.0
2019-03-24,0,58.0,19.0,35.0,112.0
2019-03-31,0,60.0,18.0,37.0,115.0
2019-04-07,0,60.0,16.0,35.0,111.0
2019-04-14,0,53.0,15.0,37.0,105.0
2019-04-21,0,54.0,16.0,33.0,103.0
2019-04-28,0,54.0,15.0,32.0,101.0
2019-05-05,0,49.0,17.0,30.0,96.0
2019-05-12,0,53.0,13.0,32.0,98.0
2019-05-19,0,50.0,14.0,30.0,94.0
2019-05-26,0,55.0,13.0,27.0,95.0
2019-06-02,0,56.0,15.0,29.0,100.0
2019-06-09,0,54.0,14.0,28.0,96.0
2019-06-16,0,53.0,14.0,27.0,94.0
2019-06-23,0,49.0,16.0,28.0,93.0
2019-06-30,0,47.0,11.0,27.0,85.0
2019-07-07,0,52.0,13.0,24.0,89.0
2019-07-14,0,49.0,12.0,23.0,84.0
2019-07-21,0,50.0,11.0,22.0,83.0
2019-07-28,0,49.0,10.0,25.0,84.0
2019-08-04,0,46.0,12.0,20.0,78.0
2019-08-11,0,49.0,14.0,22.0,85.0
2019-08-18,0,49.0,15.0,22.0,86.0
2019-08-25,0,50.0,15.0,23.0,88.0
2019-09-01,0,49.0,14.0,24.0,87.0
2019-09-08,0,53.0,16.0,28.0,97.0
2019-09-15,0,62.0,16.0,36.0,114.0
2019-09-22,0,61.0,19.0,37.0,117.0
2019-09-29,0,63.0,16.0,34.0,113.0
2019-10-06,0,63.0,16.0,40.0,119.0
2019-10-13,0,55.0,12.0,37.0,104.0
2019-10-20,0,58.0,14.0,39.0,111.0
2019-10-27,0,59.0,13.0,36.0,108.0
2019-11-03,0,56.0,15.0,40.0,111.0
2019-11-10,0,57.0,14.0,38.0,109.0
2019-11-17,0,59.0,18.0,41.0,118.0
2019-11-24,0,57.0,14.0,39.0,110.0
2019-12-01,0,60.0,15.0,40.0,115.0
2019-12-08,0,60.0,17.0,42.0,119.0
2019-12-15,0,65.0,14.0,51.0,130.0
2019-12-22,0,62.0,17.0,62.0,141.0
2019-12-29,0,67.0,16.0,67.0,150.0
2020-01-05,0,70.0,18.0,52.0,140.0
2020-01-12,0,77.0,19.0,45.0,141.0
2020-01-19,0,68.0,17.0,48.0,133.0
2020-01-26,0,74.0,25.0,51.0,150.0
2020-02-02,0,71.0,18.0,44.0,133.0
2020-02-09,0,69.0,23.0,37.0,129.0
2020-02-16,1,52.0,24.0,40.0,117.0
2020-02-23,2,68.0,20.0,40.0,130.0
2020-03-01,5,70.0,27.0,41.0,143.0
2020-03-08,30,81.0,43.0,66.0,220.0
2020-03-15,79,100.0,100.0,97.0,376.0
2020-03-22,79,72.0,83.0,75.0,309.0
2020-03-29,69,54.0,64.0,55.0,242.0
2020-04-05,57,47.0,55.0,44.0,203.0
2020-04-12,49,47.0,47.0,33.0,176.0
2020-04-19,42,44.0,34.0,28.0,148.0
2020-04-26,40,51.0,35.0,25.0,151.0
2020-05-03,36,42.0,31.0,21.0,130.0
2020-05-10,36,41.0,29.0,21.0,127.0
2020-05-17,33,40.0,29.0,21.0,123.0
2020-05-24,36,54.0,30.0,20.0,140.0
2020-05-31,29,42.0,30.0,20.0,121.0
2020-06-07,31,42.0,32.0,17.0,122.0
2020-06-14,29,52.0,32.0,19.0,132.0
2020-06-21,32,46.0,33.0,18.0,129.0
2020-06-28,34,44.0,33.0,17.0,128.0
2020-07-05,32,44.0,37.0,19.0,132.0
2020-07-12,33,45.0,28.0,17.0,123.0
2020-07-19,32,47.0,30.0,18.0,127.0
2020-07-26,33,50.0,33.0,18.0,134.0
2020-08-02,29,43.0,30.0,18.0,120.0
2020-08-09,29,50.0,31.0,19.0,129.0
2020-08-16,25,46.0,27.0,21.0,119.0
2020-08-23,23,40.0,29.0,19.0,111.0
2020-08-30,25,42.0,27.0,20.0,114.0
2020-09-06,28,40.0,31.0,20.0,119.0
2020-09-13,43,49.0,39.0,21.0,152.0
2020-09-20,46,50.0,47.0,25.0,168.0
2020-09-27,61,56.0,48.0,31.0,196.0
2020-10-04,50,56.0,47.0,31.0,184.0
2020-10-11,40,53.0,35.0,31.0,159.0
2020-10-18,33,49.0,33.0,28.0,143.0
2020-10-25,36,51.0,35.0,26.0,148.0
2020-11-01,28,43.0,28.0,20.0,119.0
2020-11-08,46,50.0,30.0,25.0,151.0
2020-11-15,49,56.0,31.0,25.0,161.0
2020-11-22,43,44.0,32.0,25.0,144.0
2020-11-29,44,51.0,28.0,24.0,147.0
2020-12-06,51,49.0,36.0,26.0,162.0
2020-12-13,52,49.0,40.0,24.0,165.0
2020-12-20,47,41.0,36.0,25.0,149.0
2020-12-27,44,44.0,36.0,23.0,147.0
2021-01-03,45,46.0,31.0,21.0,143.0
2021-01-10,54,50.0,32.0,24.0,160.0
2021-01-17,42,50.0,28.0,23.0,143.0
2021-01-24,41,51.0,30.0,19.0,141.0
2021-01-31,35,52.0,31.0,20.0,138.0
2021-02-07,36,49.0,25.0,19.0,129.0
2021-02-14,33,53.0,28.0,17.0,131.0
2021-02-21,37,48.0,33.0,18.0,136.0
2021-02-28,41,45.0,30.0,17.0,133.0
2021-03-07,43,46.0,30.0,18.0,137.0
2021-03-14,45,46.0,30.0,22.0,143.0
2021-03-21,49,53.0,33.0,20.0,155.0
2021-03-28,58,50.0,38.0,22.0,168.0
2021-04-04,74,56.0,40.0,26.0,196.0
2021-04-11,70,59.0,36.0,23.0,188.0
2021-04-18,66,68.0,34.0,24.0,192.0
2021-04-25,65,99.0,31.0,25.0,220.0
2021-05-02,55,76.0,35.0,23.0,189.0
2021-05-09,54,63.0,24.0,20.0,161.0
2021-05-16,49,58.0,22.0,20.0,149.0
2021-05-23,46,56.0,19.0,20.0,141.0
2021-05-30,48,55.0,22.0,19.0,144.0
2021-06-06,46,52.0,17.0,21.0,136.0
2021-06-13,46,54.0,19.0,20.0,139.0
2021-06-20,47,55.0,20.0,16.0,138.0
2021-06-27,39,54.0,19.0,17.0,129.0
2021-07-04,37,61.0,21.0,20.0,139.0
2021-07-11,33,62.0,20.0,21.0,136.0
2021-07-18,31,53.0,21.0,26.0,131.0
2021-07-25,31,57.0,20.0,23.0,131.0
2021-08-01,37,57.0,23.0,27.0,144.0
2021-08-08,37,56.0,23.0,32.0,148.0
2021-08-15,51,56.0,29.0,36.0,172.0
2021-08-22,42,53.0,20.0,37.0,152.0
2021-08-29,45,55.0,28.0,33.0,161.0
2021-09-05,36,50.0,23.0,34.0,143.0
2021-09-12,37,54.0,30.0,38.0,159.0
2021-09-19,39,61.0,31.0,45.0,176.0
2021-09-26,33,62.0,32.0,48.0,175.0
2021-10-03,31,57.0,30.0,47.0,165.0
2021-10-10,31,58.0,26.0,51.0,166.0
2021-10-17,32,61.0,28.0,47.0,168.0
2021-10-24,26,60.0,24.0,43.0,153.0
2021-10-31,25,63.0,18.0,47.0,153.0
2021-11-07,28,62.0,23.0,44.0,157.0
2021-11-14,27,59.0,26.0,41.0,153.0
2021-11-21,30,61.0,27.0,44.0,162.0
2021-11-28,35,64.0,28.0,43.0,170.0
2021-12-05,38,67.0,29.0,45.0,179.0
2021-12-12,76,65.0,39.0,46.0,226.0
2021-12-19,100,71.0,54.0,58.0,283.0
2021-12-26,85,78.0,65.0,67.0,295.0
2022-01-02,73,98.0,61.0,70.0,302.0
2022-01-09,50,94.0,54.0,59.0,257.0
2022-01-16,45,64.0,40.0,48.0,197.0
2022-01-23,28,59.0,31.0,38.0,156.0
2022-01-30,23,57.0,31.0,33.0,144.0
2022-02-06,23,56.0,27.0,27.0,133.0
2022-02-13,20,50.0,24.0,25.0,119.0
2022-02-20,16,47.0,23.0,28.0,114.0
2022-02-27,16,54.0,25.0,27.0,122.0
2022-03-06,17,51.0,27.0,27.0,122.0
2022-03-13,16,61.0,24.0,30.0,131.0
2022-03-20,16,62.0,32.0,39.0,149.0
2022-03-27,18,69.0,34.0,39.0,160.0
2022-04-03,22,69.0,38.0,49.0,178.0
2022-04-10,20,72.0,31.0,54.0,177.0
2022-04-17,16,65.0,33.0,53.0,167.0
2022-04-24,14,66.0,26.0,51.0,157.0
2022-05-01,13,64.0,21.0,48.0,146.0
2022-05-08,11,63.0,23.0,49.0,146.0
2022-05-15,10,66.0,24.0,51.0,151.0
2022-05-22,8,53.0,20.0,52.0,133.0
2022-05-29,8,53.0,19.0,47.0,127.0
2022-06-05,8,57.0,20.0,52.0,137.0
2022-06-12,8,56.0,15.0,51.0,130.0
2022-06-19,7,57.0,19.0,53.0,136.0
2022-06-26,8,56.0,19.0,56.0,139.0
2022-07-03,10,61.0,23.0,59.0,153.0
2022-07-10,12,55.0,23.0,56.0,146.0
2022-07-17,12,60.0,28.0,54.0,154.0
2022-07-24,10,59.0,28.0,46.0,143.0
2022-07-31,9,55.0,19.0,50.0,133.0
2022-08-07,9,60.0,25.0,43.0,137.0
2022-08-14,8,54.0,17.0,45.0,124.0
2022-08-21,8,55.0,20.0,43.0,126.0
2022-08-28,8,56.0,19.0,42.0,125.0
2022-09-04,6,56.0,16.0,39.0,117.0
2022-09-11,8,73.0,19.0,50.0,150.0
2022-09-18,8,66.0,21.0,59.0,154.0
2022-09-25,8,65.0,22.0,65.0,160.0
2022-10-02,8,67.0,25.0,71.0,171.0
2022-10-09,8,69.0,22.0,76.0,175.0
2022-10-16,8,69.0,17.0,78.0,172.0
2022-10-23,7,76.0,24.0,85.0,192.0
2022-10-30,7,84.0,25.0,98.0,214.0
2022-11-06,6,81.0,19.0,100.0,206.0
2022-11-13,5,82.0,20.0,95.0,202.0
2022-11-20,5,79.0,19.0,87.0,190.0
2022-11-27,4,82.0,18.0,87.0,191.0
2022-12-04,4,84.0,23.0,79.0,190.0
2022-12-11,4,78.0,19.0,75.0,176.0
2022-12-18,5,72.0,19.0,73.0,169.0
2022-12-25,5,58.0,16.0,65.0,144.0
2023-01-01,6,69.0,17.0,63.0,155.0
