experiment,Test Window 1,Test Window 2,Test Window 3,Test Window 4,Test Window 5,Test Window 6,Test Window 7,Overall mean,First mean
autogluon_global_with_scaled_covariates_experiment_DLinearModel,0.24965787391329744,0.20415859552704296,0.1807418035223914,0.18522377263861609,0.1729764885807145,0.18351637540698948,0.20361368848207778,0.19712694258158994,0.2269082347201702
autogluon_global_with_scaled_covariates_experiment_DeepARModel,0.2704708354262736,0.13912237464625604,0.13410140599490294,0.16012086075464455,0.15470689011106303,0.21330673584198145,0.17668239186293583,0.1783587849482939,0.20479660503626482
autogluon_global_with_scaled_covariates_experiment_PatchTSTModel,0.3547595317976024,0.14386268885765174,0.11916550094032896,0.18468024055509336,0.1429884697984338,0.20350165510299187,0.16442517052875755,0.18762617965440853,0.24931111032762707
autogluon_global_with_scaled_covariates_experiment_RecursiveTabularModel,0.24887325213193306,0.2074293306707457,0.14927110967494034,0.18061654928744109,0.1881046147225334,0.20680194613116748,0.17045299563705518,0.19307854260797377,0.22815129140133938
autogluon_global_with_scaled_covariates_experiment_TemporalFusionTransformerModel,0.2536722043404048,0.142009963873827,0.1385369137196643,0.16879362889381785,0.12856562385396117,0.19658929114801615,0.18267060338932473,0.17297688988843088,0.19784108410711593
autogluon_local_experiment_AutoARIMAModel,0.267373709275403,0.16341698151125378,0.1216105780721656,0.16457550294458884,0.15096316277583496,0.19015031893990994,0.16250290502556025,0.17437045122067377,0.21539534539332839
autogluon_local_experiment_AutoETSModel,0.24485566383412344,0.1795787750769294,0.12579801736233787,0.17374153234227724,0.1661425110405506,0.1891386372290824,0.15366856870280657,0.1761319579411582,0.2122172194555264
autogluon_local_experiment_ETSModel,0.2550830409605176,0.18781741219423434,0.13427864988182178,0.1717516996297029,0.16859369313938397,0.19577647254075486,0.15888160095271456,0.18174036704273286,0.22145022657737595
autogluon_local_experiment_NaiveModel,0.2492627226771154,0.20169719686914725,0.15598233353325824,0.19809210396509244,0.18848044261511937,0.20954918260327232,0.1825872303196663,0.19795017322609593,0.22547995977313134
autogluon_local_experiment_SeasonalNaiveModel,0.2492627226771154,0.20169719686914725,0.15598233353325824,0.19809210396509244,0.18848044261511937,0.20954918260327232,0.1825872303196663,0.19795017322609593,0.22547995977313134
